CASENAME,COMN,Similarity,token_sort_ratio
AMCAST INDUSTRIAL CORP.,AMCAST INDUSTRIAL CORP,1,1
AMCAST INDUSTRIAL CORPORATION,AMCAST INDUSTRIAL CORP,1,1
AMCON DISTRIBUTING COMPANY,AMCON DISTRIBUTING CO,1,1
AMERACE CORP,AMERACE CORP,1,1
AMERACE CORP.,AMERACE CORP,1,1
AMERFORD INTERNATIONAL CORP,AMERFORD INTERNATIONAL CORP,1,1
AMERICAN AGGREGATES,AMERICAN AGGREGATES CORP,1,1
AMERICAN AGGREGATES CORP,AMERICAN AGGREGATES CORP,1,1
AMERICAN AGGREGATES CORP.,AMERICAN AGGREGATES CORP,1,1
AMERICAN AGGREGATES CORPORATION,AMERICAN AGGREGATES CORP,1,1
AMERICAN APPAREL,AMERICAN APPAREL INC,1,1
AMERICAN BAKERIES CO,AMERICAN BAKERIES CO,1,1
AMERICAN BAKERIES INC.,AMERICAN BAKERIES CO,1,1
AMERICAN BANK NOTE COMPANY,AMERICAN BANK NOTE CO,1,1
AMERICAN BANKNOTE,AMERICAN BANKNOTE CORP,1,1
AMERICAN BANKNOTE COMPANY,AMERICAN BANKNOTE CORP,1,1
AMERICAN BILTRITE,AMERICAN BILTRITE INC,1,1
AMERICAN BROADCASTING CO,AMERICAN BROADCASTING,1,1
AMERICAN BROADCASTING CO INC,AMERICAN BROADCASTING,1,1
"AMERICAN BROADCASTING CO, INC",AMERICAN BROADCASTING,1,1
AMERICAN BROADCASTING CO.,AMERICAN BROADCASTING,1,1
"AMERICAN BROADCASTING CO., INC.",AMERICAN BROADCASTING,1,1
AMERICAN BROADCASTING COMPANY,AMERICAN BROADCASTING,1,1
"AMERICAN BROADCASTING COMPANY, INC.",AMERICAN BROADCASTING,1,1
AMERICAN BUILDINGS CO.,AMERICAN BUILDINGS CO,1,1
AMERICAN CRYSTAL SUGAR CO,AMERICAN CRYSTAL SUGAR CO,1,1
AMERICAN CYANAMID,AMERICAN CYANAMID CO,1,1
AMERICAN CYANAMID CO,AMERICAN CYANAMID CO,1,1
AMERICAN CYANAMID COMPANY,AMERICAN CYANAMID CO,1,1
AMERICAN CYANAMID CORP,AMERICAN CYANAMID CO,1,1
