CASENAME,COMN,Similarity,token_sort_ratio
ISPAT Inland Inc.,ISPAT INLAND INC,1,1
"ISS INT'L. SERVICE SYSTEM, INC.",ISS INTL SERVICE SYSTEM,1,1
ITT,ITT CORPORATION,1,1
ITT CONTINENTAL BAKING,ITT CONTINENTAL BAKING INC,1,1
ITT CONTINENTAL BAKING CO,ITT CONTINENTAL BAKING INC,1,1
ITT CONTINENTAL BAKING CO  INC,ITT CONTINENTAL BAKING INC,1,1
ITT CONTINENTAL BAKING CO INC,ITT CONTINENTAL BAKING INC,1,1
"ITT CONTINENTAL BAKING CO, INC",ITT CONTINENTAL BAKING INC,1,1
ITT CONTINENTAL BAKING CO.,ITT CONTINENTAL BAKING INC,1,1
"ITT CONTINENTAL BAKING CO., INC.",ITT CONTINENTAL BAKING INC,1,1
ITT CONTINENTAL BAKING COMPANY,ITT CONTINENTAL BAKING INC,1,1
ITT CONTINENTAL BAKING INC,ITT CONTINENTAL BAKING INC,1,1
"ITT, INC.",ITT CORPORATION,1,1
"ITX, INC.",ITX CORP,1,1
"Ikon Office Solutions, Inc.",IKON OFFICE SOLUTIONS,1,1
Illinois Tool Works Inc.,ILLINOIS TOOL WORKS,1,1
Imperial Parking Inc.,IMPERIAL PARKING CORP,1,1
Indiana Michigan Power Company,INDIANA MICHIGAN POWER CO,1,1
Ingersoll-Rand,INGERSOLL-RAND PLC,1,1
Ingevity,INGEVITY CORP,1,1
"Innova, Inc.",INNOVA CORP,1,1
"Interline Brands, Inc.",INTERLINE BRANDS INC,1,1
Interstate Brands,INTERSTATE BRANDS CORP,1,1
Interstate Brands Co.,INTERSTATE BRANDS CORP,1,1
Interstate Brands Corp.,INTERSTATE BRANDS CORP,1,1
Interstate Brands Corporation,INTERSTATE BRANDS CORP,1,1
"Interstate Brands Corporation,",INTERSTATE BRANDS CORP,1,1
"Interstate Brands, Inc.",INTERSTATE BRANDS CORP,1,1
Invacare Corp.,INVACARE CORP,1,1
"Iridium Services, Inc.",IRIDIUM LLC,1,1
Iron Mountain,IRON MOUNTAIN INC,1,1
Iron Mountain Company,IRON MOUNTAIN INC,1,1
"Iron Mountain, Inc.",IRON MOUNTAIN INC,1,1
Ivex Packaging Corporation,IVEX PACKAGING CORP,1,1
J & J SNACK FOODS,J & J SNACK FOODS CORP,1,1
"J C  PENNEY CO, INC",PENNEY (J C) CO,1,1
J C  PENNEY COMPANY,PENNEY (J C) CO,1,1
J C PENNEY,PENNEY (J C) CO,1,1
J C PENNEY CO,PENNEY (J C) CO,1,1
J C PENNEY CO INC,PENNEY (J C) CO,1,1
J C PENNEY INC,PENNEY (J C) CO,1,1
J I CASE CO,CASE (J I) CO,1,1
J J NEWBERRY CO,NEWBERRY (J J) CO,1,1
J.A. JONES CONSTRUCTION CO,JONES (J.A.) CONSTRUCTION CO,1,1
J.P. STEVENS & CO.,STEVENS (J.P.) & CO,1,1
"J.P. STEVENS & CO., INC.",STEVENS (J.P.) & CO,1,1
JACK'S SERVICE CO.,JACKS INC,1,1
JACKSON PRODUCTS CO.,JACKSON PRODUCTS INC,1,1
"JACOBSON STORES, INC",JACOBSON STORES,1,1
"JACOBSON STORES, INC.",JACOBSON STORES,1,1
JAMESWAY,JAMESWAY CORP,1,1
JAMESWAY COMPANY,JAMESWAY CORP,1,1
JEFFERSON STORES INC,JEFFERSON STORES INC,1,1
"JENNIFER CONVERTIBLES, INC.",JENNIFER CONVERTIBLES INC,1,1
JOHN BREUNER CO,BREUNER (JOHN) CO,1,1
JOHN H. HARLAND COMPANY,HARLAND (JOHN H.) CO,1,1
JOHNS MANVILLE,JOHNS MANVILLE CORP,1,1
JOHNS MANVILLE CORP,JOHNS MANVILLE CORP,1,1
JOHNS MANVILLE CORPORATION,JOHNS MANVILLE CORP,1,1
"JONES & VINING, INC",JONES & VINING INC,1,1
"JONES LANG LaSALLE, INC.",JONES LANG LASALLE INC,1,1
"JONES, LANG, LASALLE SERVICES,",JONES LANG LASALLE INC,1,1
JOS. SCHLITZ BREWING CO,SCHLITZ (JOS.) BREWING CO,1,1
JUNO LIGHTING INC,JUNO LIGHTING INC,1,1
Jacobs Engineering Group,JACOBS ENGINEERING GROUP INC,1,1
Johns Manville,JOHNS MANVILLE CORP,1,1
"Johns Manville, Corp.",JOHNS MANVILLE CORP,1,1
Jones Lang LaSalle,JONES LANG LASALLE INC,1,1
"Jones Lang LaSalle, Inc.",JONES LANG LASALLE INC,1,1
Jones Lang Lasalle,JONES LANG LASALLE INC,1,1
Jostens,JOSTENS INC,1,1
KAISER ALUMINUM & CHEMICAL CORP.,KAISER ALUMINUM & CHEMICAL,1,1
KAISER CEMENT CORP,KAISER CEMENT CORP,1,1
"KANE INDUSTRIES, CO",KANE INDUSTRIES INC,1,1
KANSAS GAS & ELECTRIC CO.,KANSAS GAS & ELECTRIC CO,1,1
KANSAS GAS & ELECTRIC COMPANY,KANSAS GAS & ELECTRIC CO,1,1
"KAR PRODUCTS, INC.",KAR PRODUCTS INC,1,1
KAY LABORATORIES INC,KAY LABORATORIES INC,1,1
KEEBLER CO,KEEBLER CO,1,1
KEEBLER CO.,KEEBLER CO,1,1
"KEEBLER CO., INC.",KEEBLER CO,1,1
KEEBLER COMPANY,KEEBLER CO,1,1
"KEEBLER, INC.",KEEBLER CO,1,1
"KEITH CLARK, INC.",KEITH CLARK INC,1,1
KELLOGG COMPANY,KELLOGG CO,1,1
KELLWOOD CO,KELLWOOD CO,1,1
KELLWOOD CO.,KELLWOOD CO,1,1
KELSEY HAYES CO,KELSEY HAYES CO,1,1
KEMMERER BOTTLING GROUP INC.,KEMMERER BOTTLING GROUP INC,1,1
KENDALL CO,KENDALL CO,1,1
KENDALL CO.,KENDALL CO,1,1
KENTRON INTERNATIONAL,KENTRON INTERNATIONAL INC,1,1
KENTRON INTERNATIONAL INC,KENTRON INTERNATIONAL INC,1,1
"KENTRON INTERNATIONAL, INC",KENTRON INTERNATIONAL INC,1,1
KENTUCKY ELECTRIC STEEL CO,KENTUCKY ELECTRIC STEEL INC,1,1
KENTUCKY POWER COMPANY,KENTUCKY POWER,1,1
KENTUCKY UTILITIES,KENTUCKY UTILITIES CO,1,1
KERR-MCGEE CORP.,KERR-MCGEE CORP,1,1
KEUFFEL & ESSER CO,KEUFFEL & ESSER CO,1,1
KEUFFEL & ESSER CO.,KEUFFEL & ESSER CO,1,1
"KEVCO, INC.",KEVCO INC,1,1
KEYES FIBRE CO.,KEYES FIBRE CO,1,1
KEYSTONE FOODS INC,KEYSTONE FOODS,1,1
KIDDE INC,KIDDE INC,1,1
KIMBERLY-CLARK CORPORATION,KIMBERLY-CLARK CORP,1,1
KING OPTICAL,KING OPTICAL CORP,1,1
KING RADIO CORP,KING RADIO CORP,1,1
"KINNEY SYSTEM, INC.",KINNEY SYSTEM INC,1,1
KIRSCH CO,KIRSCH CO,1,1
KNIGHT INDUSTRIES CORP.,KNIGHT INDUSTRIES INC,1,1
"KNOLL, INC.",KNOLL INC,1,1
KNOX LUMBER CO,KNOX LUMBER CO,1,1
"KOBACKER STORES, INC",KOBACKER STORES INC,1,1
"KOBACKER STORES, INC.",KOBACKER STORES INC,1,1
KOHLER COMPANY,KOHLER CO,1,1
KOHLS CORP,KOHL'S CORP,1,1
KOPPERS CO,KOPPERS CO,1,1
"KOPPERS CO, INC",KOPPERS CO,1,1
"KOPPERS CO., INC.",KOPPERS CO,1,1
KOSS CORP.,KOSS CORP,1,1
KRAFT GENERAL FOODS,KRAFT GENERAL FOODS,1,1
"KRAFT GENERAL FOODS, INC.",KRAFT GENERAL FOODS,1,1
KROGER,KROGER CO,1,1
KROGER CO,KROGER CO,1,1
"KROGER CO, INC",KROGER CO,1,1
KROGER CO.,KROGER CO,1,1
KRONOS COMPANY,KRONOS INC,1,1
KYLE TECHNOLOGY CORP,KYLE TECHNOLOGY CORP,1,1
Keebler Company,KEEBLER CO,1,1
"Keebler Foods Company, Inc.",KEEBLER FOODS CO,1,1
Kellogg Company,KELLOGG CO,1,1
Kentucky Utilities Company,KENTUCKY UTILITIES CO,1,1
Kimberly-Clark Corporation,KIMBERLY-CLARK CORP,1,1
Kinder Morgan,KINDER MORGAN INC,1,1
Kingsley Coach,KINGSLEY COACH INC,1,1
"Knoll, Inc.",KNOLL INC,1,1
Kohler Company,KOHLER CO,1,1
Koppers Inc.,KOPPERS CO,1,1
"Koppers, Inc.",KOPPERS CO,1,1
"Kraft Foods Group, Inc.",KRAFT FOODS GROUP INC,1,1
L.T.V. AEROSPACE & DEFENSE CO.,LTV AEROSPACE & DEFENSE CO,1,1
LA-Z-BOY,LA-Z-BOY INC,1,1
LA-Z-BOY CORPORATION,LA-Z-BOY INC,1,1
LACLEDE STEEL,LACLEDE STEEL CO,1,1
LACLEDE STEEL COMPANY,LACLEDE STEEL CO,1,1
LACLEDE STEEL CORP.,LACLEDE STEEL CO,1,1
LADISH CO,LADISH CO INC,1,1
"LADISH CO., INC.",LADISH CO INC,1,1
LAFARGE NORTH AMERICA,LAFARGE NORTH AMERICA INC,1,1
"LAFARGE NORTH AMERICA, INC.",LAFARGE NORTH AMERICA INC,1,1
"LAND O'LAKES, INC.",LAND O'LAKES INC,1,1
LAND OLAKES,LAND O'LAKES INC,1,1
LANDMARK LAND CO,LANDMARK LAND CO,1,1
"LANDMARK LAND CO., INC.",LANDMARK LAND CO,1,1
LANDS END  INC,LANDS' END INC,1,1
LANDS END INC,LANDS' END INC,1,1
LANE BRYANT,LANE BRYANT INC,1,1
"LANE BRYANT, INC",LANE BRYANT INC,1,1
"LANE BRYANT, INC.",LANE BRYANT INC,1,1
LANE LIMITED,LANE CO INC,1,1
"LARIBEE WIRE, INC.",LARIBEE WIRE INC,1,1
LARSEN CO,LARSEN CO,1,1
"LAWSON PRODUCTS, INC.",LAWSON PRODUCTS,1,1
"LAWTER INTERNATIONAL, INC.",LAWTER INTERNATIONAL INC,1,1
LDI INC.,LDI CORP,1,1
"LDM Technologies, Inc.",LDM TECHNOLOGIES INC,1,1
LEAR SIEGLER,LEAR SIEGLER INC,1,1
LEAR SIEGLER INC,LEAR SIEGLER INC,1,1
"LEAR SIEGLER, INC",LEAR SIEGLER INC,1,1
"LEAR SIEGLER, INC.",LEAR SIEGLER INC,1,1
LEASEWAY TRANSPORTATION,LEASEWAY TRANSPORTATION CORP,1,1
LEATH & CO,LEATH & CO,1,1
LEE ENTERPRISES,LEE ENTERPRISES INC,1,1
LEE WAY MOTOR FREIGHT INC,LEE WAY MOTOR FREIGHT INC,1,1
"LEE WAY MOTOR FREIGHT, INC",LEE WAY MOTOR FREIGHT INC,1,1
LEEDS & NORTHRUP CO,LEEDS & NORTHRUP CO,1,1
LEGGETT & PLATT,LEGGETT & PLATT INC,1,1
LEGGETT & PLATT INC,LEGGETT & PLATT INC,1,1
LEGGETT & PLATT INC.,LEGGETT & PLATT INC,1,1
"LEGGETT & PLATT, INC",LEGGETT & PLATT INC,1,1
"LEGGETT & PLATT, INC.",LEGGETT & PLATT INC,1,1
LEHIGH PORTLAND CEMENT CO.,LEHIGH PORTLAND CEMENT CO,1,1
LEHIGH PORTLAND CEMENT COMPANY,LEHIGH PORTLAND CEMENT CO,1,1
LEHIGH PRESS,LEHIGH PRESS INC,1,1
LEHIGH PRESS INC,LEHIGH PRESS INC,1,1
LEIGH PRODUCTS INC,LEIGH PRODUCTS INC,1,1
"LEIGH PRODUCTS, INC",LEIGH PRODUCTS INC,1,1
"LERNER STORES, INC.",LERNER STORES CORP,1,1
"LESCO, INC.",LESCO INC,1,1
LEVI STRAUSS & CO,LEVI STRAUSS & CO,1,1
LEVI STRAUSS & CO.,LEVI STRAUSS & CO,1,1
LEWIS ALFRED M INC,LEWIS (ALFRED M.) INC,1,1
LEWIS PALMER G CO INC,LEWIS (PALMER G.) CO INC,1,1
"LEWIS, ALFRED M., INC",LEWIS (ALFRED M.) INC,1,1
LIBBY MCNEILL & LIBBY INC,LIBBY MCNEILL & LIBBY,1,1
LIEBERT CORP.,LIEBERT CORP,1,1
"LIFETIME BRANDS, INC.",LIFETIME BRANDS INC,1,1
LIGHTOLIER,LIGHTOLIER INC,1,1
LINEAR FILMS,LINEAR FILMS INC,1,1
LIQUID AIR,LIQUID AIR CORP,1,1
LIQUID AIR CORP,LIQUID AIR CORP,1,1
LIQUID AIR CORP.,LIQUID AIR CORP,1,1
LIQUID AIR CORPORATION,LIQUID AIR CORP,1,1
"LIQUID AIR, INC",LIQUID AIR CORP,1,1
LIQUID TRANSPORTERS INC,LIQUID TRANSPORTERS INC,1,1
"LIQUID TRANSPORTERS, INC.",LIQUID TRANSPORTERS INC,1,1
LIUSKI INTERNATIONAL,LIUSKI INTERNATIONAL INC,1,1
LLOYDS SHOPPING CENTERS INC,LLOYD'S SHOPPING CENTERS INC,1,1
LOCKHEED MARTIN,LOCKHEED MARTIN CORP,1,1
LOCKHEED MARTIN CORP.,LOCKHEED MARTIN CORP,1,1
"LOCKHEED MARTIN SERVICES, INC.",LOCKHEED MARTIN CORP,1,1
"LOCKHEED MARTIN, INC.",LOCKHEED MARTIN CORP,1,1
LONE STAR BREWING CO.,LONE STAR BREWING CO,1,1
"LONE STAR INDUSTRIES, INC.",LONE STAR INDUSTRIES,1,1
LONGS DRUG STORES,LONGS DRUG STORES CORP,1,1
LONGVIEW FIBRE,LONGVIEW FIBRE CO,1,1
LONGVIEW FIBRE COMPANY,LONGVIEW FIBRE CO,1,1
LOOMIS,LOOMIS CORP,1,1
LOOMIS FARGO & CO.,LOOMIS FARGO & CO,1,1
LOOMIS FARGO & COMPANY,LOOMIS FARGO & CO,1,1
"LOOMIS, FARGO & COMPANY",LOOMIS FARGO & CO,1,1
"LOUISIANA CASINO CRUISES, INC.",LOUISIANA CASINO CRUISES INC,1,1
LOUISIANA-PACIFIC CORP,LOUISIANA-PACIFIC CORP,1,1
LOUISIANA-PACIFIC CORP.,LOUISIANA-PACIFIC CORP,1,1
LOUISIANA-PACIFIC CORPORATION,LOUISIANA-PACIFIC CORP,1,1
LTV AEROSPACE & DEFENSE CO.,LTV AEROSPACE & DEFENSE CO,1,1
LUCENT TECHNOLOGIES,LUCENT TECHNOLOGIES INC,1,1
LUCKY STORES,LUCKY STORES INC,1,1
LUCKY STORES INC,LUCKY STORES INC,1,1
LUCKY STORES INC.,LUCKY STORES INC,1,1
"LUCKY STORES, INC.",LUCKY STORES INC,1,1
LUFKIN INDUSTRIES INC,LUFKIN INDUSTRIES INC,1,1
"LUFKIN INDUSTRIES, INC.",LUFKIN INDUSTRIES INC,1,1
"LUIGINO'S, INC.",LUIGINOS INC,1,1
"La Quinta Inns, Inc.",LA QUINTA INNS INC,1,1
LaFarge North America,LAFARGE NORTH AMERICA INC,1,1
LaFarge North America Inc.,LAFARGE NORTH AMERICA INC,1,1
"LaFarge North America, Inc.",LAFARGE NORTH AMERICA INC,1,1
LaRoche Industries,LAROCHE INDUSTRIES INC,1,1
LaRoche Industries Inc.,LAROCHE INDUSTRIES INC,1,1
Lafarge North America,LAFARGE NORTH AMERICA INC,1,1
Lafarge North America Inc.,LAFARGE NORTH AMERICA INC,1,1
"Lafarge North America, Inc.",LAFARGE NORTH AMERICA INC,1,1
"Lamb Weston Holdings, Inc.",LAMB WESTON HOLDINGS INC,1,1
Lane Bryant,LANE BRYANT INC,1,1
Lannett Co. Inc.,LANNETT CO INC,1,1
Lason,LASON INC,1,1
Layne Christensen Company,LAYNE CHRISTENSEN CO,1,1
Lear Siegler Services Inc.,LEAR SIEGLER INC,1,1
"Lear Siegler Services, Inc.",LEAR SIEGLER INC,1,1
Leggett & Platt,LEGGETT & PLATT INC,1,1
Leggett & Platt Inc.,LEGGETT & PLATT INC,1,1
"Lehigh Press, Inc.",LEHIGH PRESS INC,1,1
Lesco,LESCO INC,1,1
"Lifeway Foods, Inc.",LIFEWAY FOODS INC,1,1
"Live Nation Entertainment, Inc.",LIVE NATION ENTERTAINMENT,1,1
Lockheed Martin,LOCKHEED MARTIN CORP,1,1
Lockheed Martin Corp.,LOCKHEED MARTIN CORP,1,1
Lockheed Martin Corporation,LOCKHEED MARTIN CORP,1,1
"Lockheed Martin Services, Inc.",LOCKHEED MARTIN CORP,1,1
"Logicon, Inc.",LOGICON INC,1,1
Longview Fibre,LONGVIEW FIBRE CO,1,1
Longview Fibre Co.,LONGVIEW FIBRE CO,1,1
Loomis,LOOMIS CORP,1,1
Loomis Fargo & Co.,LOOMIS FARGO & CO,1,1
Loomis Fargo & Company,LOOMIS FARGO & CO,1,1
"Loomis, Fargo & Co.",LOOMIS FARGO & CO,1,1
"Loomis, Fargo & Company",LOOMIS FARGO & CO,1,1
"M. F. BANK & CO, INC",F & M BANK CORP,1,1
"MACDERMID, INC.",MACDERMID INC,1,1
MACK TRUCKS,MACK TRUCKS INC,1,1
MACK TRUCKS INC,MACK TRUCKS INC,1,1
MACK TRUCKS INC.,MACK TRUCKS INC,1,1
"MACK TRUCKS, INC",MACK TRUCKS INC,1,1
"MACK TRUCKS, INC.",MACK TRUCKS INC,1,1
MACKE CO,MACKE CO,1,1
"MACKE CO, INC",MACKE CO,1,1
MACKE CO.,MACKE CO,1,1
MACY'S,MACY'S INC,1,1
"MACY'S, INC.",MACY'S INC,1,1
MACYS,MACY'S INC,1,1
"MADISON INDUSTRIES, INC.",MADISON INDUSTRIES INC,1,1
MAGIC CHEF CO.,MAGIC CHEF INC,1,1
MAGIC CHEF INC,MAGIC CHEF INC,1,1
MAGNA CORPORATION,MAGNA CORP,1,1
"MAGNETEK, INC.",MAGNETEK INC,1,1
"MAGNETIC METALS, INC.",MAGNETIC METALS CO,1,1
"MAGNETICS INTERNATIONAL, INC.",MAGNETICS INTERNATIONAL INC,1,1
MALIBU GRAND PRIX,MALIBU GRAND PRIX CORP,1,1
MALONE & HYDE INC,MALONE & HYDE INC,1,1
"MALONE & HYDE, INC.",MALONE & HYDE INC,1,1
MANITOWOC CO INC,MANITOWOC CO,1,1
MANOR CARE,MANOR CARE INC,1,1
"MANOR CARE, INC.",MANOR CARE INC,1,1
MANOR HEALTHCARE CORP.,MANOR HEALTHCARE CORP,1,1
"MANPOWER, INC.",MANPOWER INC,1,1
MAPLE PRESS COMPANY,MAPLE PRESS CO,1,1
MARATHON OIL CO,MARATHON OIL CORP,1,1
MARATHON PETROLEUM,MARATHON PETROLEUM CORP,1,1
MARCUS CORP.,MARCUS CORP,1,1
MAREMONT CORP.,MAREMONT CORP,1,1
MAREMONT CORPORATION,MAREMONT CORP,1,1
MARINER HEALTH CARE,MARINER HEALTH CARE INC,1,1
"MARINER HEALTH CARE, INC.",MARINER HEALTH CARE INC,1,1
MARK CONTROLS CORP,MARK CONTROLS CORP,1,1
MARMON GROUP INC,MARMON GROUP INC,1,1
MARSHALL FIELD & CO,MARSHALL FIELD & CO,1,1
"MARTECH USA, INC.",MARTECH USA INC,1,1
MARTEN TRANSPORT LTD,MARTEN TRANSPORT LTD,1,1
MARTIN BROWER,MARTIN BROWER CORP,1,1
MARTIN BROWER CO,MARTIN BROWER CORP,1,1
MARTIN BROWER CO INC,MARTIN BROWER CORP,1,1
MARTIN BROWER CO.,MARTIN BROWER CORP,1,1
"MARTIN BROWER CO., INC.",MARTIN BROWER CORP,1,1
MARTIN BROWER COMPANY,MARTIN BROWER CORP,1,1
MARTIN MARIETTA,MARTIN MARIETTA CORP,1,1
MARTIN MARIETTA CO.,MARTIN MARIETTA CORP,1,1
MARTIN MARIETTA CORP,MARTIN MARIETTA CORP,1,1
"MARTIN MARIETTA MATERIALS, INC",MARTIN MARIETTA MATERIALS,1,1
"MARTIN MARIETTA MATERIALS, INC.",MARTIN MARIETTA MATERIALS,1,1
MARTIN MARIETTA SERVICES,MARTIN MARIETTA CORP,1,1
"MARTIN MARIETTA, INC.",MARTIN MARIETTA CORP,1,1
MARTIN PROCESSING CO.,MARTIN PROCESSING INC,1,1
MARYLAND CUP CORP,MARYLAND CUP CORP,1,1
MASONITE CORP,MASONITE CORP,1,1
MASSACHUSETTS ELECTRIC CO,MASSACHUSETTS ELECTRIC CO,1,1
MASTER GRAPHICS,MASTER GRAPHICS INC,1,1
"MATRIX SERVICE, INC.",MATRIX SERVICE CO,1,1
MAXXIM MEDICAL,MAXXIM MEDICAL INC,1,1
MAY DEPARTMENT STORES,MAY DEPARTMENT STORES CO,1,1
MAY DEPARTMENT STORES CORP,MAY DEPARTMENT STORES CO,1,1
MAY DEPT STORES CO,MAY DEPARTMENT STORES CO,1,1
"MAYFAIR INDUSTRIES, INC.",MAYFAIR INDUSTRIES INC,1,1
MAYTAG CO,MAYTAG CORP,1,1
MBPXL CORP,MBPXL CORP,1,1
"MCCORMICK & CO., INC.",MCCORMICK & CO INC,1,1
MCCRORY CORP,MCCRORY CORP,1,1
MCDONNELL DOUGLAS,MCDONNELL DOUGLAS CORP,1,1
MCDONNELL DOUGLAS CORP,MCDONNELL DOUGLAS CORP,1,1
MCDONNELL DOUGLAS CORPORATION,MCDONNELL DOUGLAS CORP,1,1
MCGRAW-EDISON CO,MCGRAW-EDISON CO,1,1
MCGREGOR CO.,MCGREGOR CORP,1,1
MCI COMMUNICATIONS SERVICES,MCI COMMUNICATIONS,1,1
"MCI COMMUNICATIONS SERVICES, INC.",MCI COMMUNICATIONS,1,1
MCI Communications Services Inc.,MCI COMMUNICATIONS,1,1
"MCI, Inc.",MCI INC,1,1
MCKESSON CORP.,MCKESSON CORP,1,1
MCWHORTER TECHNOLOGIES,MCWHORTER TECHNOLOGIES INC,1,1
"MCWHORTER TECHNOLOGIES, INC.",MCWHORTER TECHNOLOGIES INC,1,1
MEAD CORP,MEAD CORP,1,1
MEAD CORPORATION,MEAD CORP,1,1
MEADWESTVACO CORPORATION,MEADWESTVACO CORP,1,1
MEANS SERVICE INC,MEANS SERVICES INC,1,1
MEANS SERVICES INC,MEANS SERVICES INC,1,1
"MEANS SERVICES, INC",MEANS SERVICES INC,1,1
"MEANS SERVICES, INC.",MEANS SERVICES INC,1,1
MEDFORD CORP,MEDFORD CORP,1,1
MEDFORD CORPORATION,MEDFORD CORP,1,1
MEDIACOM,MEDIACOM LLC,1,1
MEDICAL FACILITIES,MEDICAL FACILITIES CORP,1,1
MEDLINE INDUSTRIES,MEDLINE INDUSTRIES INC,1,1
MEDLINE INDUSTRIES INC,MEDLINE INDUSTRIES INC,1,1
MEENAN OIL CO,MEENAN OIL INC,1,1
MEENAN OIL CO.,MEENAN OIL INC,1,1
"MEENAN OIL CO., INC.",MEENAN OIL INC,1,1
MEENAN OIL COMPANY,MEENAN OIL INC,1,1
"MEENAN OIL COMPANY, INC.",MEENAN OIL INC,1,1
MEI CORP,MEI CORP,1,1
MEMOREX CORP,MEMOREX CORP,1,1
MERCK & CO INC,MERCK & CO,1,1
"MERCK & COMPANY, INC.",MERCK & CO,1,1
MEREDITH CORP,MEREDITH CORP,1,1
MEREDITH CORP.,MEREDITH CORP,1,1
MEREDITH CORPORATION,MEREDITH CORP,1,1
MERIDIAN SERVICES,MERIDIAN CO LTD,1,1
"MERISEL, INC.",MERISEL INC,1,1
"MERRY-GO-ROUND ENTERPRISES, INC.",MERRY-GO-ROUND ENTERPRISES,1,1
MERVYN'S,MERVYNS,1,1
METPATH INC,METPATH INC,1,1
"METPATH, INC.",METPATH INC,1,1
"METRO NETWORKS, INC.",METRO NETWORKS INC,1,1
METROMEDIA,METROMEDIA INC,1,1
METROMEDIA INC,METROMEDIA INC,1,1
"METROMEDIA, INC.",METROMEDIA INC,1,1
METROPOLITAN  LIFE INSURANCE CO.,METROPOLITAN LIFE INSURANCE,1,1
METROPOLITAN CIRCUITS  INC,METROPOLITAN CIRCUITS,1,1
METROPOLITAN EDISON COMPANY,METROPOLITAN EDISON,1,1
METROPOLITAN LIFE INSURANCE,METROPOLITAN LIFE INSURANCE,1,1
METROPOLITAN LIFE INSURANCE CO,METROPOLITAN LIFE INSURANCE,1,1
METROPOLITAN LIFE INSURANCE CO.,METROPOLITAN LIFE INSURANCE,1,1
METROPOLITAN LIFE INSURANCE COMPANY,METROPOLITAN LIFE INSURANCE,1,1
METROPOLITAN LIFE INSURANCE INC,METROPOLITAN LIFE INSURANCE,1,1
METROPOLITAN MAINTENANCE CO,METROPOLITAN MAINTENANCE CO,1,1
"METROPOLITAN MAINTENANCE CO, INC",METROPOLITAN MAINTENANCE CO,1,1
"METROPOLITAN MAINTENANCE CO., INC.",METROPOLITAN MAINTENANCE CO,1,1
MEYER'S PARKING SYSTEMS,MEYERS PARKING SYSTEMS INC,1,1
"MEYERS PARKING SYSTEMS, INC.",MEYERS PARKING SYSTEMS INC,1,1
MGM Resorts International,MGM RESORTS INTERNATIONAL,1,1
"MGP Ingredients, Inc.",MGP INGREDIENTS INC,1,1
MHM Services Inc.,MHM SERVICES INC,1,1
"MHM Services, Inc.",MHM SERVICES INC,1,1
MICHIGAN BELL TELEPHONE CO,MICHIGAN BELL TELEPHONE CO,1,1
MICHIGAN CONSOLIDATED GAS CO,MICHIGAN CONSOLIDATED GAS CO,1,1
MICHIGAN CONSOLIDATED GAS CO.,MICHIGAN CONSOLIDATED GAS CO,1,1
"MICRODOT, INC.",MICRODOT INC,1,1
MICRODYNE CORP,MICRODYNE CORP,1,1
MICRODYNE CORP.,MICRODYNE CORP,1,1
"MID-SOUTH SERVICE, INC",MID-SOUTH CORP,1,1
MIDAMERICAN ENERGY COMPANY,MIDAMERICAN ENERGY CO,1,1
MIDDLESEX WATER CO.,MIDDLESEX WATER CO,1,1
MIDLAND GLASS CO INC,MIDLAND GLASS CO,1,1
"MIDLAND RESOURCES, INC",MIDLAND RESOURCES INC,1,1
"MIDLAND SERVICES, INC",MIDLAND CO,1,1
"MIDLAND SERVICES, INC.",MIDLAND CO,1,1
MIDWEST COCA-COLA BOTTLING CO.,COCA-COLA BOTTLING MIDWEST,1,1
MIDWEST COCA-COLA BOTTLING COMPANY,COCA-COLA BOTTLING MIDWEST,1,1
MIDWEST RUBBER RECLAIMING CO.,MIDWEST RUBBER RECLAIMING CO,1,1
"MIKASA, INC.",MIKASA INC,1,1
MILES LABORATORIES INC,MILES LABORATORIES INC,1,1
MILTON ROY COMPANY,MILTON ROY CO,1,1
MISSISSIPPI POWER CO,MISSISSIPPI POWER CO,1,1
MISSISSIPPI POWER COMPANY,MISSISSIPPI POWER CO,1,1
MISSISSIPPI VALLEY GAS CO,MISSISSIPPI VALLEY GAS CO,1,1
MISSOURI PORTLAND CEMENT CO,MISSOURI PORTLAND CEMENT CO,1,1
MISSOURI PORTLAND CEMENT CO.,MISSOURI PORTLAND CEMENT CO,1,1
MISSOURI POWER & LIGHT CO,MISSOURI POWER & LIGHT,1,1
MISSOURI POWER & LIGHT COMPANY,MISSOURI POWER & LIGHT,1,1
MKS COMPANY  INC,MKS INC,1,1
"MMI Products, Inc.",MMI PRODUCTS INC,1,1
MOBIL OIL CO,MOBIL OIL CORP,1,1
MOBIL OIL CO.,MOBIL OIL CORP,1,1
MOBIL OIL CORP,MOBIL OIL CORP,1,1
MOBIL OIL CORP.,MOBIL OIL CORP,1,1
MOBIL OIL CORPORATION,MOBIL OIL CORP,1,1
"MOBILE MINI, INC.",MOBILE MINI INC,1,1
"MODERN MAID FOOD PRODUCTS, INC.",MODERN MAID FOOD PRODUCTS,1,1
MODINE MANUFACTURING COMPANY,MODINE MANUFACTURING CO,1,1
MOGUL CORP,MOGUL CORP,1,1
"MOHAWK INDUSTRIES, INC.",MOHAWK INDUSTRIES INC,1,1
"MOLOKAI RANCH, LTD.",MOLOKAI RANCH LTD,1,1
"MOLYCORP, INC.",MOLYCORP INC,1,1
MONARCH CORP,MONARCH SERVICES INC,1,1
MONARCH SERVICE CORPORATION,MONARCH SERVICES INC,1,1
